Day,Cash On Hand
11,3379262
12,3371974
13,3358668
14,3529344
15,3515984
16,3646624
17,3637264
18,3614554
19,3744844
20,3799766
21,3776400
22,3932666
23,3921914
24,4053144
25,4138138
26,4241332
27,4320526
28,4662302
29,4889278
30,4876436
31,16187522
32,22280025
33,26854089
34,34617425
35,43394160
36,44854331
37,45727656
38,46541133
39,47479986
40,47986932
41,50679643
42,51126175
43,54195366
44,59051604
45,67516440
46,68134164
47,72282875
48,73198638
49,75485550
50,76759479
51,77712034
52,81138712
53,89858032
54,95013522
55,96703151
56,98436395
57,96899608
58,98917536
59,102368290
60,104186994
61,105923221
62,106981510
63,112449179
64,113917056
65,126809656
66,127405686
67,129537948
68,134943083
69,137524174
70,148838640
71,157864797
72,164752227
73,164987364
74,165879610
75,164926314
76,163745641
77,168275632
78,168683705
79,166885005
80,168600481
81,171685340
82,171326113
83,172059993
84,178299425
85,180483201
86,182163345
87,181470138
88,180200613
89,184401680
90,187065348
