Day,Sales,Trading Profit,Operating Expense,Net Profit
11,8453002,6243481,1767029,4477479
12,9562848,5617941,2325971,3293254
13,10604692,6513995,2390541,4123454
14,11474591,7255121,2432850,4822271
15,12734475,8397824,2486022,5911802
16,14160789,8227005,2980232,5246773
17,17507637,11425705,3067908,8357797
18,19133806,12530410,3301714,9228696
19,21293401,14542254,3354724,11187530
20,22866572,15149966,3780360,11369606
21,25370277,15335474,4788730,10546744
22,30648587,20441517,4843216,15598301
23,32308677,21066499,5331652,15734847
24,35026712,20459466,6995083,13464383
25,40673046,24395669,7800590,16595079
26,45594819,29174459,7995978,21178481
27,47535738,30575721,8624692,21951029
28,49801786,31448098,10222972,21225126
29,53178295,32739522,10704126,22035396
30,55799227,35227723,10774338,24453385
31,57644452,35762125,11457493,24304632
32,63928691,40191382,11529779,28661603
33,71782244,46504385,12159504,34344881
34,81947327,53949954,13289101,40660853
35,91470465,62448148,13668104,48780044
36,93315200,64186496,13740348,50446148
37,94950685,65736453,13817308,51919145
38,96922683,66036908,14793469,51243439
39,100604700,69373386,15004727,54368659
40,102757465,70053762,16660546,53393216
41,106534423,71983848,17646403,54337445
42,110426244,74437259,19329440,55107819
43,113946958,77526389,19590003,57936386
44,122382972,84068577,20526405,63542172
45,132609102,93901525,20635635,73265890
46,134560115,93645587,21844544,71801043
47,139047824,98033359,21929812,76103547
48,141418884,100287042,22015699,78271343
49,143776487,102515588,22101390,80414198
50,145977897,103341326,22872871,80468455
51,149637070,106917342,22959673,83957669
52,155622302,109671489,25533227,84138262
53,167378995,121112572,25615080,95497492
54,175341689,127359287,27856894,99502393
55,179950876,130111391,28917928,101193463
56,184123332,132936261,29712804,103223457
57,188126588,135494143,31363319,104130824
58,192019789,137846804,32681232,105165572
59,196187818,141579754,33256007,108323747
60,199019204,143830041,33591361,110238680
61,202209056,146875009,33699186,113175823
62,204836269,147274765,34921480,112353285
63,210382883,152659852,35005425,117654427
64,213415886,153499024,36575551,116923473
65,229545736,168708804,36810521,131898283
66,232048694,169803766,38370549,131433217
67,236842125,172547966,39497358,133050608
68,242597259,178152411,39588557,138563854
69,245706062,180708592,39904819,140803773
70,259251451,192537847,41673542,150864305
71,269952715,201230716,43210349,158020367
72,280756888,210970492,44094768,166875724
73,282401141,211747099,45508884,166238215
74,284073390,212797044,45813407,166983637
75,287285937,215813759,45899770,169913989
76,289862683,216199448,49264749,166934699
77,294485452,220605787,49362527,171243260
78,296395246,222212507,49447648,172764859
79,298438208,222499692,51470322,171029370
80,302517630,224564874,53620678,170932196
81,306547367,227297255,54565556,172719699
82,309862645,230323275,54645379,175665896
83,311805441,230205475,55556175,174637300
84,318120915,235999654,55632217,180355437
85,322155794,239090950,56248980,182859970
86,324271422,241036168,56321904,184732264
87,326421214,242620445,56582391,186056054
88,328762562,243077862,58185314,184910548
89,333452089,247040079,58538174,188519905
90,336812687,249804784,59235104,190587680
